With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
0.28579337816801653,set_logging_level (,0.2857933453169814,set_logging_level (,0.5054199940381088,@ see,0.36664418560849943,define MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.3628826307458448,'priority ',0.7777081374287234,under,-8.134480320419408,double,-8.134480320419408,double,-7.35857286295782,\r
0.28579337816801653,set_logging_level,0.2857933453169814,( logging.DEBUG,0.5011812659071643,author,0.36664418560849943,AVOID_PROFILE,0.3628826307458448,'priority,0.7723469168144969,# include,-8.134480320419408,"' ,",-8.134480320419408,"' ,",-7.37131188873525,#
0.28579337816801653,logging.DEBUG ),0.2857933453169814,logging.DEBUG ),0.49982006772998155,@ author,0.36664418560849943,define AVOID_PROFILE,0.36288256144065784,: int,0.7710353727443886,slow,-8.134480320419408,`` <,-8.134480320419408,`` <,-7.397287375138511,of the
0.28579337816801653,logging.DEBUG,0.2857933453169814,logging.DEBUG,0.4992824434918886,name :,0.3665737368941834,'priority,0.35675258060891624,( ),0.7688826121343023,http,-8.134480320419408,for,-8.134480320419408,for,-7.397287375138511,by
0.28579337816801653,( logging.DEBUG,0.2857933453169814,set_logging_level,0.49105041334340493,Configures,0.3665737368941834,'priority ',0.3508991209130785,AVOID_PROFILE,0.767487958050263,This,-8.178932082990242,X ],-8.178932082990242,X ],-7.423955622220672,use
0.28496113887753216,~,0.2849611758363735,~,0.49105041334340493,Configures the,0.3665737368941834,"int ,",0.3508991209130785,define AVOID_PROFILE,0.7645387757961697,# define,-8.178932082990242,i ],-8.178932082990242,i ],-7.423955622220672,) {
0.2727018629541472,IS,0.27270183684729793,IS,0.4874694054219543,development,0.3665735744905327,: int,0.3508991209130785,MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.7248240168819136,SET,-8.178932082990242,'' ;,-8.178932082990242,'' ;,-7.437561274276451,or
0.27179123089598534,quit,0.27179148350357635,num_pops++,0.4418748545623211,http :,0.3631557124980339,IS,0.3508991209130785,define MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.719787451166455,ScalarNodeDefinition .,-8.178932082990242,[ X,-8.178932082990242,[ X,-7.451354596408787,as
0.27179123089598534,quit ;,0.27179148350357635,num_pops++ ;,0.4393659749753019,Comment,0.36228749301727653,void *,0.3471392992715203,void *,0.719787451166455,return ScalarNodeDefinition,-8.225452098625135,[ i,-8.225452098625135,[ i,-7.4653408383835265,from
0.2717912269024055,num_pops++,0.2717912429891328,quit ;,0.4314453880121173,https :,0.35754708968826315,( ),0.3422646786956155,) ;,0.719787451166455,ScalarNodeDefinition,-8.225452098625135,; if,-8.225452098625135,; if,-7.4653408383835265,on
0.2717912269024055,num_pops++ ;,0.2717912429891328,quit,0.4314453880121173,https,0.3497403532985325,import,0.3414678700458941,~,0.7172998486101004,"'' ,",-8.225452098625135,'' ),-8.225452098625135,'' ),-7.479525473375483,https :
0.2704072293857585,seq_file,0.27040711900000214,seq_file *,0.4274477303701887,# include,0.34647502540709213,alpha,0.3353147929879646,import,0.7073489933760039,(,-8.274242262794568,"`` ,",-8.274242262794568,"`` ,",-7.479525473375483,https
0.2704072293857585,struct seq_file,0.27040711900000214,struct seq_file,0.42610843628705547,pylint :,0.34647502540709213,alpha =,0.3349742454267369,"' ,",0.7003795411398627,employees,-8.325535557182118,for (,-8.325535557182118,for (,-7.479525473375483,are
0.2704072293857585,seq_file *,0.27040711900000214,seq_file,0.42610843628705547,pylint,0.34645790434733564,= 0.01,0.33116738743268737,: true,0.6920655455593328,SQL,-8.325535557182118,\r \r,-8.325535557182118,\r \r,-7.493914210827582,'' )
